store_Id,user_id,name,vicinity,Features
1061,1274,"Dr. Hy V. Phan, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
575,1441,"Dr. Bachaar Arnaout, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
252,1332,"Dr. Michelle M. Carino, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1969,1301,Homer Robert J MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
2096,1497,"Dr. Kenneth L. Cohen, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1295,1049,VA Medical Center-West Haven: Taylor Caroline MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
2131,1317,"Dr. Lindsay Schine, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1967,1012,VA Medical Center-West Haven: Irizarry Eliud MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1252,1113,"Dr. Brian J. Malm, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
2056,1346,VA Medical Center-West Haven: Rochester Carolyn L MD,"950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
1484,1131,"Dr. Susan T. Crowley, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
95,1282,"Dr. Steven E. Pfau, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
289,1291,"Dr. Kim-Thu C. Pham, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
927,1377,"Dr. Shuba Rodrigues, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
1428,1155,Walker Charles N MD,"950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
1083,1048,Nathanson Michael H MD,"950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
56,1104,VA Medical Center-West Haven: Wong Thomas MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
562,1056,"Dr. Hilary C. Cain, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
2039,1267,"Dr. Daniel H. Mathalon, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1373,1055,Innis Robert MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
758,1311,Chang John J MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1121,1339,"Dr. Larisa L. Davydova, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
2273,1244,"Dr. Melissa F. Perkal, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
240,1428,Landman Adam B MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
21,1092,Rosen Marc I MD,"950 Campbell Avenue, West Haven","bar,restaurant,point_of_interest,food,establishment"
1163,1357,Blumberg Hilary P MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,food,point_of_interest,establishment"
844,1421,Reilly Hugh F MD,"950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
2261,1415,"Dr. Michael J. Sernyak Jr, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
259,1422,"Dr. Sherif I. Assaad, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1616,1218,Nash Esther R MD,"950 Campbell Avenue, West Haven","bar,night_club,restaurant,point_of_interest,food,establishment"
99,1081,"Dr. James M. Solomon, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1624,1059,"Dr. John P. Concato, MD","950 Campbell Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
1167,1043,New Haven,New Haven,"bar,restaurant,food,point_of_interest,establishment"
2023,1305,University of New Haven,"300 Boston Post Road, West Haven","bar,night_club,restaurant,food,point_of_interest,establishment"
667,1241,Super 8 by Wyndham West Haven,"7 Kimberly Avenue, West Haven","bar,restaurant,food,point_of_interest,establishment"
